name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Citrobacter	544	G	945066	0.36619	54664	0.01016	1259	0.00036	21233	0.00416	5884	0.00094
Klebsiella	570	G	533683	0.20679	41022	0.00763	12202	0.00345	3499	0.00069	5893998	0.94658
Escherichia	561	G	90544	0.03508	42852	0.00797	62009	0.01755	14947	0.00293	78956	0.01268
Raoultella	160674	G	14970	0.00580	2489	0.00046	55	0.00002	1216	0.00024	1932	0.00031
Enterobacter	547	G	24973	0.00968	1359	0.00025	378	0.00011	661	0.00013	47635	0.00765
Salmonella	590	G	14131	0.00548	969	0.00018	169	0.00005	825	0.00016	23304	0.00374
Kluyvera	579	G	3273	0.00127	48	0.00001	24	0.00001	12	0.00000	42	0.00001
Kosakonia	1330547	G	1304	0.00051	160	0.00003	46	0.00001	103	0.00002	194	0.00003
Leclercia	83654	G	733	0.00028	87	0.00002	68	0.00002	151	0.00003	259	0.00004
Lelliottia	1330545	G	673	0.00026	85	0.00002	38	0.00001	52	0.00001	180	0.00003
Cedecea	158483	G	462	0.00018	89	0.00002	36	0.00001	67	0.00001	303	0.00005
Cronobacter	413496	G	409	0.00016	38	0.00001	40	0.00001	91	0.00002	566	0.00009
Shigella	620	G	4093	0.00159	590	0.00011	533	0.00015	39	0.00001	14951	0.00240
Pluralibacter	1330546	G	307	0.00012	41	0.00001	29	0.00001	19	0.00000	99	0.00002
Yokenella	158876	G	275	0.00011	20	0.00000	9	0.00000	3	0.00000	201	0.00003
Gibbsiella	929812	G	156	0.00006	0	0.00000	4	0.00000	11	0.00000	8	0.00000
Buttiauxella	82976	G	132	0.00005	11	0.00000	8	0.00000	15	0.00000	13	0.00000
Scandinavium	2726810	G	110	0.00004	7	0.00000	8	0.00000	3	0.00000	19	0.00000
Atlantibacter	1903434	G	89	0.00003	6	0.00000	8	0.00000	11	0.00000	292	0.00005
Pseudescherichia	2055880	G	85	0.00003	3	0.00000	1	0.00000	7	0.00000	42	0.00001
Candidatus Hamiltonella	568987	G	38	0.00001	8	0.00000	7	0.00000	12	0.00000	76	0.00001
Candidatus Blochmannia	203804	G	18	0.00001	22	0.00000	14	0.00000	22	0.00000	3	0.00000
Candidatus Doolittlea	1906657	G	16	0.00001	2	0.00000	0	0.00000	5	0.00000	4	0.00000
Candidatus Tachikawaea	1682492	G	6	0.00000	0	0.00000	46	0.00001	0	0.00000	2	0.00000
Candidatus Annandia	1302410	G	2	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00000
Candidatus Gullanella	1906661	G	1	0.00000	1	0.00000	0	0.00000	0	0.00000	5	0.00000
Izhakiella	1780190	G	57	0.00002	71	0.00001	18	0.00001	100	0.00002	30	0.00000
Shimwellia	1335483	G	52	0.00002	1	0.00000	0	0.00000	9	0.00000	31	0.00000
Limnobaculum	2172100	G	25	0.00001	3	0.00000	3	0.00000	9	0.00000	0	0.00000
Candidatus Ishikawaella	409304	G	7	0.00000	0	0.00000	0	0.00000	0	0.00000	3	0.00000
Candidatus Riesia	401618	G	6	0.00000	1	0.00000	0	0.00000	2	0.00000	0	0.00000
Candidatus Moranella	1048757	G	2	0.00000	0	0.00000	1	0.00000	0	0.00000	7	0.00000
Metakosakonia	2055876	G	4	0.00000	0	0.00000	0	0.00000	2	0.00000	2	0.00000
Morganella	581	G	124810	0.04836	11579	0.00215	469	0.00013	55	0.00001	24	0.00000
Proteus	583	G	96918	0.03755	2535	0.00047	39	0.00001	66	0.00001	148	0.00002
Providencia	586	G	1120	0.00043	72	0.00001	63	0.00002	98	0.00002	48	0.00001
Xenorhabdus	626	G	242	0.00009	79	0.00001	52	0.00001	66	0.00001	49	0.00001
Arsenophonus	637	G	96	0.00004	19	0.00000	14	0.00000	21	0.00000	16	0.00000
Photorhabdus	29487	G	50	0.00002	28	0.00001	22	0.00001	50	0.00001	29	0.00000
Serratia	613	G	1447	0.00056	427	0.00008	248	0.00007	530	0.00010	354	0.00006
Yersinia	629	G	1037	0.00040	106	0.00002	108	0.00003	218	0.00004	993	0.00016
Rahnella	34037	G	159	0.00006	43	0.00001	31	0.00001	73	0.00001	23	0.00000
Nissabacter	1964366	G	22	0.00001	18	0.00000	10	0.00000	13	0.00000	1	0.00000
Chania	1745211	G	18	0.00001	8	0.00000	8	0.00000	29	0.00001	4	0.00000
Rouxiella	1565532	G	14	0.00001	1	0.00000	6	0.00000	5	0.00000	7	0.00000
Ewingella	41201	G	9	0.00000	0	0.00000	5	0.00000	9	0.00000	0	0.00000
Candidatus Fukatsuia	1927833	G	1	0.00000	5	0.00000	10	0.00000	6	0.00000	14	0.00000
Pantoea	53335	G	952	0.00037	205	0.00004	109	0.00003	259	0.00005	914	0.00015
Erwinia	551	G	429	0.00017	51	0.00001	48	0.00001	127	0.00002	89	0.00001
Buchnera	32199	G	212	0.00008	38	0.00001	32	0.00001	55	0.00001	25	0.00000
Mixta	2100764	G	191	0.00007	113	0.00002	56	0.00002	144	0.00003	9	0.00000
Tatumella	82986	G	215	0.00008	29	0.00001	24	0.00001	49	0.00001	3	0.00000
Wigglesworthia	51228	G	10	0.00000	11	0.00000	10	0.00000	7	0.00000	1	0.00000
Pectobacterium	122277	G	510	0.00020	81	0.00002	42	0.00001	113	0.00002	57	0.00001
Dickeya	204037	G	491	0.00019	238	0.00004	137	0.00004	282	0.00006	79	0.00001
Brenneria	71655	G	110	0.00004	27	0.00001	22	0.00001	58	0.00001	18	0.00000
Sodalis	84565	G	23	0.00001	6	0.00000	13	0.00000	12	0.00000	18	0.00000
Lonsdalea	1082702	G	11	0.00000	3	0.00000	6	0.00000	11	0.00000	2	0.00000
Hafnia	568	G	918	0.00036	128	0.00002	45	0.00001	81	0.00002	9	0.00000
Edwardsiella	635	G	129	0.00005	67	0.00001	38	0.00001	88	0.00002	106	0.00002
Obesumbacterium	82982	G	23	0.00001	10	0.00000	2	0.00000	36	0.00001	0	0.00000
