name	taxonomy_id	taxonomy_lvl	PM06-C1D01_num	PM06-C1D01_frac	PM06-C1D02_num	PM06-C1D02_frac	PM06-C1D15_num	PM06-C1D15_frac	PM06-C1D36_num	PM06-C1D36_frac	PM06-S1_num	PM06-S1_frac
Citrobacter sp. RHB35-C17	2742625	S	389547	0.15102	22684	0.00422	102	0.00003	0	0.00000	0	0.00000
Citrobacter sp. RHBSTW-00887	2742668	S	33464	0.01297	2468	0.00046	0	0.00000	39	0.00001	1	0.00000
Citrobacter sp. RHBSTW-00524	2742653	S	23259	0.00902	1546	0.00029	8	0.00000	30	0.00001	3	0.00000
Citrobacter sp. RHBSTW-01013	2742677	S	17726	0.00687	1310	0.00024	0	0.00000	14	0.00000	1	0.00000
Citrobacter sp. RHB35-C21	2742626	S	16597	0.00643	1161	0.00022	0	0.00000	0	0.00000	1	0.00000
Citrobacter sp. TSA-1	184912	S	14252	0.00553	1141	0.00021	13	0.00000	4	0.00000	22	0.00000
Citrobacter sp. RHBSTW-00986	2742675	S	14627	0.00567	1140	0.00021	0	0.00000	5	0.00000	30	0.00000
Citrobacter sp. RHBSTW-00107	2742635	S	12476	0.00484	1037	0.00019	6	0.00000	4	0.00000	6	0.00000
Citrobacter sp. RHBSTW-00599	2742657	S	14127	0.00548	1031	0.00019	0	0.00000	24	0.00000	3555	0.00057
Citrobacter sp. RHB36-C18	2742627	S	15045	0.00583	1237	0.00023	0	0.00000	10	0.00000	1	0.00000
Citrobacter sp. LY-1	2546350	S	2880	0.00112	177	0.00003	2	0.00000	51	0.00001	269	0.00004
Citrobacter sp. RHBSTW-01044	2742678	S	13810	0.00535	1168	0.00022	9	0.00000	12	0.00000	2	0.00000
Citrobacter sp. 172116965	2683822	S	11281	0.00437	844	0.00016	0	0.00000	5	0.00000	16	0.00000
Citrobacter sp. RHBSTW-00570	2742655	S	16323	0.00633	1193	0.00022	0	0.00000	9	0.00000	3	0.00000
Citrobacter sp. SNU WT2	2562449	S	1444	0.00056	73	0.00001	1	0.00000	26	0.00001	8	0.00000
Citrobacter sp. NMI7904_11	2653932	S	1489	0.00058	89	0.00002	19	0.00001	32	0.00001	11	0.00000
Citrobacter sp. CFNIH10	1920110	S	5078	0.00197	573	0.00011	181	0.00005	23	0.00000	1	0.00000
Citrobacter sp. RHB25-C09	2742624	S	1158	0.00045	60	0.00001	9	0.00000	14	0.00000	12	0.00000
Citrobacter sp. CRE-46	1703250	S	1774	0.00069	62	0.00001	0	0.00000	9	0.00000	0	0.00000
Citrobacter sp. FDAARGOS_156	1702170	S	545	0.00021	30	0.00001	0	0.00000	19	0.00000	0	0.00000
Citrobacter sp. CF971	2566012	S	819	0.00032	69	0.00001	7	0.00000	165	0.00003	6	0.00000
Citrobacter sp. LUTT5	2697370	S	706	0.00027	35	0.00001	0	0.00000	82	0.00002	0	0.00000
Citrobacter sp. RHB20-C16	2742621	S	238076	0.09230	7375	0.00137	0	0.00000	0	0.00000	0	0.00000
Citrobacter sp. RHBSTW-00944	2742671	S	1735	0.00067	148	0.00003	0	0.00000	0	0.00000	0	0.00000
Citrobacter sp. RHBSTW-00903	2742670	S	2345	0.00091	203	0.00004	0	0.00000	0	0.00000	0	0.00000
Citrobacter sp. RHBSTW-00127	2742636	S	1799	0.00070	168	0.00003	0	0.00000	0	0.00000	0	0.00000
Citrobacter sp. RHBSTW-00229	2742641	S	953	0.00037	36	0.00001	0	0.00000	64	0.00001	33	0.00001
Citrobacter sp. RHBSTW-00678	2742661	S	579	0.00022	30	0.00001	0	0.00000	29	0.00001	4	0.00000
Citrobacter sp. Y3	2716879	S	227	0.00009	52	0.00001	0	0.00000	0	0.00000	26	0.00000
Citrobacter sp. RHBSTW-00535	2742654	S	609	0.00024	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Citrobacter sp. RHBSTW-00017	2742629	S	325	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Citrobacter sp. TBCP-5362	2576406	S	30	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Citrobacter freundii	546	S	36309	0.01408	2481	0.00046	92	0.00003	18787	0.00368	504	0.00008
Citrobacter braakii	57706	S	18782	0.00728	1253	0.00023	26	0.00001	103	0.00002	23	0.00000
Citrobacter portucalensis	1639133	S	2972	0.00115	928	0.00017	317	0.00009	1004	0.00020	214	0.00003
Citrobacter werkmanii	67827	S	1795	0.00070	126	0.00002	4	0.00000	61	0.00001	11	0.00000
Citrobacter freundii complex sp. CFNIH2	2066049	S	1406	0.00055	92	0.00002	11	0.00000	9	0.00000	22	0.00000
Citrobacter youngae	133448	S	946	0.00037	81	0.00002	2	0.00000	70	0.00001	5	0.00000
Citrobacter freundii complex sp. CFNIH9	2077149	S	415	0.00016	18	0.00000	0	0.00000	57	0.00001	1	0.00000
Citrobacter freundii complex sp. CFNIH4	2077148	S	340	0.00013	0	0.00000	0	0.00000	51	0.00001	3	0.00000
Citrobacter freundii complex sp. CFNIH3	2077147	S	590	0.00023	34	0.00001	0	0.00000	0	0.00000	714	0.00011
Citrobacter amalonaticus	35703	S	18298	0.00709	2022	0.00038	370	0.00010	280	0.00005	33	0.00001
Citrobacter rodentium	67825	S	5497	0.00213	255	0.00005	16	0.00000	30	0.00001	91	0.00001
Citrobacter farmeri	67824	S	1304	0.00051	136	0.00003	24	0.00001	51	0.00001	11	0.00000
Citrobacter koseri	545	S	942	0.00037	53	0.00001	30	0.00001	9	0.00000	60	0.00001
Citrobacter pasteurii	1563222	S	340	0.00013	25	0.00000	0	0.00000	36	0.00001	0	0.00000
Klebsiella pneumoniae	573	S	507574	0.19678	37952	0.00706	11771	0.00333	557	0.00011	5844462	0.93866
Klebsiella michiganensis	1134687	S	9212	0.00357	332	0.00006	49	0.00001	2347	0.00046	5630	0.00090
Klebsiella variicola	244366	S	6275	0.00243	1048	0.00019	53	0.00002	45	0.00001	11567	0.00186
Klebsiella oxytoca	571	S	4528	0.00176	1076	0.00020	21	0.00001	74	0.00001	2965	0.00048
Klebsiella sp. FDAARGOS_511	2488567	S	306	0.00012	32	0.00001	2	0.00000	15	0.00000	151	0.00002
Klebsiella sp. PO552	1972757	S	141	0.00005	23	0.00000	19	0.00001	0	0.00000	1447	0.00023
Klebsiella sp. WP8-S18-ESBL-06	2675726	S	407	0.00016	6	0.00000	5	0.00000	3	0.00000	150	0.00002
Klebsiella sp. P1CD1	2267618	S	78	0.00003	45	0.00001	3	0.00000	87	0.00002	187	0.00003
Klebsiella sp. WP4-W18-ESBL-05	2675713	S	374	0.00014	23	0.00000	0	0.00000	0	0.00000	450	0.00007
Klebsiella sp. WP3-S18-ESBL-05	2675711	S	443	0.00017	0	0.00000	5	0.00000	105	0.00002	0	0.00000
Klebsiella sp. LTGPAF-6F	1905288	S	84	0.00003	9	0.00000	8	0.00000	12	0.00000	131	0.00002
Klebsiella sp. MPUS7	2697371	S	38	0.00001	0	0.00000	0	0.00000	0	0.00000	24	0.00000
Klebsiella sp. LY	2015795	S	37	0.00001	0	0.00000	0	0.00000	0	0.00000	189	0.00003
Klebsiella sp. M5al	1934254	S	37	0.00001	0	0.00000	0	0.00000	5	0.00000	29	0.00000
Klebsiella aerogenes	548	S	1104	0.00043	69	0.00001	24	0.00001	83	0.00002	3854	0.00062
Klebsiella quasipneumoniae	1463165	S	1933	0.00075	294	0.00005	185	0.00005	36	0.00001	18869	0.00303
Klebsiella grimontii	2058152	S	831	0.00032	83	0.00002	30	0.00001	105	0.00002	2187	0.00035
Klebsiella huaxiensis	2153354	S	152	0.00006	10	0.00000	12	0.00000	20	0.00000	539	0.00009
Klebsiella quasivariicola	2026240	S	120	0.00005	10	0.00000	9	0.00000	0	0.00000	1130	0.00018
Escherichia coli	562	S	88386	0.03427	42672	0.00794	61805	0.01750	14833	0.00291	76984	0.01236
Escherichia albertii	208962	S	947	0.00037	47	0.00001	45	0.00001	6	0.00000	68	0.00001
Escherichia sp. E4742	2044467	S	724	0.00028	53	0.00001	31	0.00001	32	0.00001	11	0.00000
Escherichia sp. SCLE84	2725997	S	9	0.00000	0	0.00000	0	0.00000	0	0.00000	73	0.00001
Escherichia fergusonii	564	S	297	0.00012	50	0.00001	98	0.00003	58	0.00001	1760	0.00028
Escherichia marmotae	1499973	S	180	0.00007	28	0.00001	28	0.00001	16	0.00000	57	0.00001
Raoultella ornithinolytica	54291	S	11944	0.00463	2332	0.00043	12	0.00000	1131	0.00022	556	0.00009
Raoultella planticola	575	S	2143	0.00083	102	0.00002	18	0.00001	30	0.00001	1117	0.00018
Raoultella terrigena	577	S	513	0.00020	23	0.00000	13	0.00000	23	0.00000	221	0.00004
Raoultella electrica	1259973	S	125	0.00005	8	0.00000	5	0.00000	12	0.00000	37	0.00001
Raoultella sp. X13	2259647	S	244	0.00009	21	0.00000	5	0.00000	18	0.00000	0	0.00000
Enterobacter cloacae	550	S	4275	0.00166	522	0.00010	55	0.00002	90	0.00002	44998	0.00723
Enterobacter hormaechei	158836	S	6482	0.00251	547	0.00010	145	0.00004	193	0.00004	1111	0.00018
Enterobacter roggenkampii	1812935	S	1027	0.00040	53	0.00001	61	0.00002	62	0.00001	317	0.00005
Enterobacter asburiae	61645	S	500	0.00019	46	0.00001	19	0.00001	32	0.00001	442	0.00007
Enterobacter cloacae complex sp.	2027919	S	276	0.00011	10	0.00000	7	0.00000	6	0.00000	32	0.00001
Enterobacter cloacae complex sp. ECNIH7	1915310	S	61	0.00002	3	0.00000	0	0.00000	5	0.00000	19	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0164	2077136	S	26	0.00001	0	0.00000	0	0.00000	5	0.00000	0	0.00000
Enterobacter cloacae complex sp. FDA-CDC-AR_0132	2077137	S	2	0.00000	0	0.00000	0	0.00000	3	0.00000	0	0.00000
Enterobacter kobei	208224	S	306	0.00012	13	0.00000	2	0.00000	11	0.00000	133	0.00002
Enterobacter ludwigii	299767	S	173	0.00007	7	0.00000	5	0.00000	51	0.00001	28	0.00000
Enterobacter cancerogenus	69218	S	133	0.00005	22	0.00000	7	0.00000	31	0.00001	52	0.00001
Enterobacter chengduensis	2494701	S	38	0.00001	2	0.00000	2	0.00000	6	0.00000	4	0.00000
Enterobacter sichuanensis	2071710	S	26	0.00001	0	0.00000	1	0.00000	1	0.00000	7	0.00000
Enterobacter sp. JUb54	2724468	S	150	0.00006	3	0.00000	3	0.00000	4	0.00000	29	0.00000
Enterobacter sp. E76	2596949	S	124	0.00005	12	0.00000	11	0.00000	8	0.00000	34	0.00001
Enterobacter sp. RHBSTW-00994	2742676	S	104	0.00004	2	0.00000	5	0.00000	5	0.00000	12	0.00000
Enterobacter sp. SA187	1914861	S	80	0.00003	54	0.00001	16	0.00000	39	0.00001	30	0.00000
Enterobacter sp. RHBSTW-00175	2742639	S	78	0.00003	5	0.00000	13	0.00000	28	0.00001	5	0.00000
Enterobacter sp. 638	399742	S	74	0.00003	6	0.00000	2	0.00000	12	0.00000	11	0.00000
Enterobacter sp. RHB15-C17	2742619	S	62	0.00002	3	0.00000	0	0.00000	3	0.00000	16	0.00000
Enterobacter sp. N18-03635	2500132	S	31	0.00001	0	0.00000	0	0.00000	0	0.00000	6	0.00000
Enterobacter sp. RHBSTW-00975	2742673	S	30	0.00001	0	0.00000	0	0.00000	2	0.00000	12	0.00000
Enterobacter sp. HK169	1868135	S	26	0.00001	1	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter sp. LU1	1848517	S	24	0.00001	6	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter sp. R4-368	1166130	S	18	0.00001	0	0.00000	0	0.00000	0	0.00000	4	0.00000
Enterobacter sp. E20	1560339	S	12	0.00000	1	0.00000	0	0.00000	0	0.00000	2	0.00000
Enterobacter sp. CRENT-193	2051905	S	121	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter sp. 18A13	2565914	S	7	0.00000	2	0.00000	0	0.00000	0	0.00000	4	0.00000
Enterobacter sp. RHBSTW-00593	2742656	S	22	0.00001	0	0.00000	0	0.00000	0	0.00000	47	0.00001
Enterobacter sp. ODB01	1827481	S	3	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Enterobacter sp. DSM 30060	2747372	S	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacter sp. Crenshaw	1977566	S	2	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00000
Enterobacter sp. 247	1632810	S	89	0.00003	0	0.00000	0	0.00000	0	0.00000	189	0.00003
Enterobacter bugandensis	881260	S	87	0.00003	21	0.00000	8	0.00000	37	0.00001	26	0.00000
Enterobacter soli	885040	S	78	0.00003	4	0.00000	1	0.00000	8	0.00000	13	0.00000
Enterobacter oligotrophica	2478464	S	65	0.00003	8	0.00000	7	0.00000	9	0.00000	4	0.00000
Enterobacteriaceae bacterium strain FGI 57	693444	S	10115	0.00392	162	0.00003	2	0.00000	17	0.00000	11	0.00000
Plautia stali symbiont	891974	S	75	0.00003	8	0.00000	1	0.00000	1	0.00000	14	0.00000
Enterobacteriaceae bacterium ENNIH1	2066051	S	31	0.00001	0	0.00000	8	0.00000	0	0.00000	4	0.00000
Enterobacteriaceae endosymbiont of Macroplea mutica	2675791	S	27	0.00001	1	0.00000	0	0.00000	0	0.00000	5	0.00000
Enterobacteriaceae bacterium A-F18	2045202	S	40	0.00002	0	0.00000	0	0.00000	2	0.00000	30	0.00000
Enterobacteriaceae endosymbiont of Plateumaris consimilis	2675794	S	6	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia tomentosa	2675787	S	5	0.00000	0	0.00000	0	0.00000	4	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Plateumaris braccata	2675793	S	5	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Plateumaris sericea	2675797	S	4	0.00000	1	0.00000	1	0.00000	0	0.00000	4	0.00000
Enterobacteriaceae bacterium S05	2052938	S	10	0.00000	0	0.00000	0	0.00000	0	0.00000	16	0.00000
Enterobacteriaceae endosymbiont of Donacia cincticornis	2675773	S	4	0.00000	0	0.00000	2	0.00000	1	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia provostii	2675781	S	2	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia clavipes	2675775	S	1	0.00000	3	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia crassipes	2675776	S	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Plateumaris rustica	2675796	S	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Plateumaris pusilla	2675795	S	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia simplex	2675784	S	1	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Enterobacteriaceae endosymbiont of Donacia vulgaris	2675789	S	1	0.00000	0	0.00000	1	0.00000	0	0.00000	0	0.00000
Salmonella enterica	28901	S	13085	0.00507	748	0.00014	147	0.00004	797	0.00016	21773	0.00350
Salmonella bongori	54736	S	781	0.00030	43	0.00001	9	0.00000	27	0.00001	227	0.00004
Salmonella sp.	599	S	88	0.00003	0	0.00000	0	0.00000	0	0.00000	794	0.00013
Salmonella sp. SSDFZ69	2500543	S	28	0.00001	0	0.00000	0	0.00000	0	0.00000	29	0.00000
Salmonella sp. HNK130	2664291	S	147	0.00006	0	0.00000	0	0.00000	0	0.00000	430	0.00007
Kluyvera intermedia	61648	S	2288	0.00089	33	0.00001	16	0.00000	9	0.00000	22	0.00000
Kluyvera sp. PO2S7	2705459	S	984	0.00038	15	0.00000	8	0.00000	3	0.00000	20	0.00000
Kosakonia sacchari	1158459	S	807	0.00031	43	0.00001	10	0.00000	12	0.00000	25	0.00000
Kosakonia sp. SMBL-WEM22	2725560	S	80	0.00003	7	0.00000	5	0.00000	13	0.00000	40	0.00001
Kosakonia sp. CCTCC M2018092	2492396	S	49	0.00002	3	0.00000	0	0.00000	1	0.00000	5	0.00000
Kosakonia radicincitans	283686	S	122	0.00005	28	0.00001	7	0.00000	27	0.00001	42	0.00001
Kosakonia cowanii	208223	S	101	0.00004	42	0.00001	13	0.00000	25	0.00000	34	0.00001
Kosakonia oryzae	497725	S	84	0.00003	4	0.00000	1	0.00000	1	0.00000	32	0.00001
Kosakonia arachidis	551989	S	59	0.00002	29	0.00001	8	0.00000	21	0.00000	12	0.00000
Leclercia adecarboxylata	83655	S	438	0.00017	33	0.00001	20	0.00001	52	0.00001	170	0.00003
Leclercia sp. 29361	2714951	S	56	0.00002	31	0.00001	15	0.00000	57	0.00001	21	0.00000
Leclercia sp. 119287	2681308	S	56	0.00002	9	0.00000	7	0.00000	2	0.00000	26	0.00000
Leclercia sp. W17	2282309	S	43	0.00002	0	0.00000	0	0.00000	10	0.00000	4	0.00000
Leclercia sp. J807	2681307	S	27	0.00001	0	0.00000	2	0.00000	2	0.00000	17	0.00000
Leclercia sp. LSNIH1	1920114	S	59	0.00002	11	0.00000	5	0.00000	16	0.00000	6	0.00000
Leclercia sp. W6	2282310	S	27	0.00001	1	0.00000	5	0.00000	4	0.00000	6	0.00000
Leclercia sp. 1106151	2681309	S	9	0.00000	0	0.00000	0	0.00000	4	0.00000	7	0.00000
Leclercia sp. LSNIH3	1920116	S	14	0.00001	0	0.00000	11	0.00000	0	0.00000	0	0.00000
Lelliottia amnigena	61646	S	526	0.00020	32	0.00001	23	0.00001	25	0.00000	28	0.00000
Lelliottia jeotgali	1907578	S	83	0.00003	47	0.00001	9	0.00000	15	0.00000	147	0.00002
Lelliottia sp. WB101	2153385	S	48	0.00002	5	0.00000	5	0.00000	10	0.00000	1	0.00000
Lelliottia nimipressuralis	69220	S	15	0.00001	0	0.00000	1	0.00000	1	0.00000	3	0.00000
